State,Wisconsin,South Dakota,Ohio,North Dakota,Nebraska,Missouri,Minnesota,Michigan,Kansas,Iowa,Indiana,Illinois
Wisconsin,1,0.78,0.58,0.76,0.72,0.72,0.76,0.55,0.53,0.75,0.76,-0.3
South Dakota,0.78,1,0.3,0.83,0.81,0.7,0.6,0.37,0.59,0.88,0.83,-0.45
Ohio,0.58,0.3,1,0.37,0.34,0.77,0.73,0.66,0.29,0.47,0.59,-0.04
North Dakota,0.76,0.83,0.37,1,0.54,0.65,0.63,0.5,0.27,0.63,0.73,-0.24
Nebraska,0.72,0.81,0.34,0.54,1,0.63,0.57,0.17,0.9,0.91,0.61,-0.51
Missouri,0.72,0.7,0.77,0.65,0.63,1,0.78,0.71,0.46,0.73,0.86,-0.08
Minnesota,0.76,0.6,0.73,0.63,0.57,0.78,1,0.63,0.41,0.67,0.75,-0.13
Michigan,0.55,0.37,0.66,0.5,0.17,0.71,0.63,1,0.02,0.3,0.69,0.29
Kansas,0.53,0.59,0.29,0.27,0.9,0.46,0.41,0.02,1,0.77,0.38,-0.47
Iowa,0.75,0.88,0.47,0.63,0.91,0.73,0.67,0.3,0.77,1,0.76,-0.52
Indiana,0.76,0.83,0.59,0.73,0.61,0.86,0.75,0.69,0.38,0.76,1,-0.21
Illinois,-0.3,-0.45,-0.04,-0.24,-0.51,-0.08,-0.13,0.29,-0.47,-0.52,-0.21,1