State,Wyoming,Washington,Utah,Oregon,New Mexico,Nevada,Montana,Idaho,Hawaii,Colorado,California,Arizona,Alaska
Wyoming,1,0.19,0.78,0.85,0.55,0.48,0.7,0.87,0.23,0.77,0.24,0.49,0.36
Washington,0.19,1,-0.1,0.37,0.6,0.22,0.45,0.38,-0.43,0.2,0.77,0.6,0.47
Utah,0.78,-0.1,1,0.73,0.52,0.77,0.28,0.65,0.7,0.86,-0.1,0.28,0.1
Oregon,0.85,0.37,0.73,1,0.59,0.61,0.65,0.88,0.15,0.9,0.47,0.41,0.42
New Mexico,0.55,0.6,0.52,0.59,1,0.7,0.46,0.7,0.18,0.58,0.45,0.79,0.51
Nevada,0.48,0.22,0.77,0.61,0.7,1,0.15,0.51,0.55,0.82,0.16,0.34,0.18
Montana,0.7,0.45,0.28,0.65,0.46,0.15,1,0.83,-0.4,0.42,0.53,0.62,0.67
Idaho,0.87,0.38,0.65,0.88,0.7,0.51,0.83,1,-0.02,0.76,0.43,0.68,0.55
Hawaii,0.23,-0.43,0.7,0.15,0.18,0.55,-0.4,-0.02,1,0.41,-0.52,-0.15,-0.29
Colorado,0.77,0.2,0.86,0.9,0.58,0.82,0.42,0.76,0.41,1,0.27,0.32,0.24
California,0.24,0.77,-0.1,0.47,0.45,0.16,0.53,0.43,-0.52,0.27,1,0.37,0.48
Arizona,0.49,0.6,0.28,0.41,0.79,0.34,0.62,0.68,-0.15,0.32,0.37,1,0.41
Alaska,0.36,0.47,0.1,0.42,0.51,0.18,0.67,0.55,-0.29,0.24,0.48,0.41,1